,date,event_name,digital_button,photoresistor,temperature,humidity
156,November 18 2019 at 11:39PM,esp8266_readings,1,449,17.90,56.00
157,November 18 2019 at 11:40PM,esp8266_readings,1,449,18.00,57.00
158,November 18 2019 at 11:41PM,esp8266_readings,1,450,18.00,57.00
159,November 18 2019 at 11:42PM,esp8266_readings,1,570,18.00,57.00
160,November 18 2019 at 11:43PM,esp8266_readings,1,569,18.00,57.00
161,November 18 2019 at 11:44PM,esp8266_readings,1,569,18.00,57.00
162,November 18 2019 at 11:45PM,esp8266_readings,1,569,18.00,56.00
163,November 18 2019 at 11:46PM,esp8266_readings,1,570,18.00,56.00
164,November 18 2019 at 11:47PM,esp8266_readings,1,569,18.00,56.00
165,November 18 2019 at 11:48PM,esp8266_readings,1,570,18.10,56.00
166,November 18 2019 at 11:49PM,esp8266_readings,1,569,18.10,56.00
167,November 18 2019 at 11:50PM,esp8266_readings,1,569,18.10,56.00
168,November 18 2019 at 11:51PM,esp8266_readings,1,570,18.10,56.00
169,November 18 2019 at 11:52PM,esp8266_readings,1,569,18.10,56.00
170,November 18 2019 at 11:53PM,esp8266_readings,1,569,18.10,56.00
171,November 18 2019 at 11:54PM,esp8266_readings,1,569,18.10,55.00
172,November 18 2019 at 11:55PM,esp8266_readings,1,570,18.10,55.00
173,November 18 2019 at 11:56PM,esp8266_readings,1,569,18.10,55.00
174,November 18 2019 at 11:57PM,esp8266_readings,1,570,18.20,55.00
175,November 18 2019 at 11:58PM,esp8266_readings,1,569,18.20,55.00
176,November 18 2019 at 11:59PM,esp8266_readings,1,569,18.20,55.00
177,November 19 2019 at 12:00AM,esp8266_readings,1,569,18.20,55.00
178,November 19 2019 at 12:01AM,esp8266_readings,1,570,18.20,55.00
179,November 19 2019 at 12:02AM,esp8266_readings,1,570,18.20,55.00
180,November 19 2019 at 12:03AM,esp8266_readings,1,571,18.20,55.00
181,November 19 2019 at 12:04AM,esp8266_readings,1,570,18.30,54.00
182,November 19 2019 at 12:05AM,esp8266_readings,1,569,18.30,55.00
183,November 19 2019 at 12:06AM,esp8266_readings,1,572,18.30,54.00
184,November 19 2019 at 12:07AM,esp8266_readings,1,571,18.30,54.00
185,November 19 2019 at 12:08AM,esp8266_readings,1,569,18.30,54.00
186,November 19 2019 at 12:09AM,esp8266_readings,1,570,18.30,54.00
187,November 19 2019 at 12:10AM,esp8266_readings,1,570,18.30,54.00
188,November 19 2019 at 12:11AM,esp8266_readings,1,570,18.30,54.00
189,November 19 2019 at 12:12AM,esp8266_readings,1,570,18.30,54.00
190,November 19 2019 at 12:13AM,esp8266_readings,1,569,18.40,54.00
191,November 19 2019 at 12:14AM,esp8266_readings,1,572,18.40,54.00
192,November 19 2019 at 12:15AM,esp8266_readings,1,570,18.40,54.00
193,November 19 2019 at 12:16AM,esp8266_readings,1,571,18.40,54.00
194,November 19 2019 at 12:17AM,esp8266_readings,1,570,18.40,54.00
195,November 19 2019 at 12:18AM,esp8266_readings,1,570,18.40,54.00
196,November 19 2019 at 12:19AM,esp8266_readings,1,571,18.40,54.00
197,November 19 2019 at 12:20AM,esp8266_readings,1,569,18.40,54.00
198,November 19 2019 at 12:21AM,esp8266_readings,1,571,18.40,54.00
199,November 19 2019 at 12:22AM,esp8266_readings,1,571,18.40,54.00
200,November 19 2019 at 12:23AM,esp8266_readings,1,572,18.40,54.00
201,November 19 2019 at 12:24AM,esp8266_readings,1,571,18.50,54.00
202,November 19 2019 at 12:25AM,esp8266_readings,1,571,18.50,54.00
203,November 19 2019 at 12:26AM,esp8266_readings,1,570,18.50,54.00
204,November 19 2019 at 12:27AM,esp8266_readings,1,570,18.50,53.00
205,November 19 2019 at 12:28AM,esp8266_readings,1,572,18.50,53.00
206,November 19 2019 at 12:29AM,esp8266_readings,1,572,18.50,53.00
207,November 19 2019 at 12:30AM,esp8266_readings,1,572,18.50,53.00
208,November 19 2019 at 12:31AM,esp8266_readings,1,572,18.50,53.00
209,November 19 2019 at 12:32AM,esp8266_readings,1,570,18.60,53.00
210,November 19 2019 at 12:33AM,esp8266_readings,1,570,18.60,53.00
211,November 19 2019 at 12:34AM,esp8266_readings,1,572,18.60,53.00
212,November 19 2019 at 12:35AM,esp8266_readings,1,570,18.60,53.00
213,November 19 2019 at 12:36AM,esp8266_readings,1,570,18.60,53.00
214,November 19 2019 at 12:37AM,esp8266_readings,1,572,18.60,53.00
215,November 19 2019 at 12:38AM,esp8266_readings,1,572,18.60,53.00
216,November 19 2019 at 12:39AM,esp8266_readings,1,570,18.60,53.00
217,November 19 2019 at 12:40AM,esp8266_readings,1,571,18.60,53.00
218,November 19 2019 at 12:41AM,esp8266_readings,1,572,18.60,52.00
219,November 19 2019 at 12:42AM,esp8266_readings,1,571,18.60,53.00
220,November 19 2019 at 12:43AM,esp8266_readings,1,570,18.60,52.00
221,November 19 2019 at 12:44AM,esp8266_readings,1,571,18.60,52.00
222,November 19 2019 at 12:45AM,esp8266_readings,1,570,18.60,52.00
223,November 19 2019 at 12:46AM,esp8266_readings,1,570,18.60,52.00
224,November 19 2019 at 12:47AM,esp8266_readings,1,572,18.70,52.00
225,November 19 2019 at 12:48AM,esp8266_readings,1,572,18.70,52.00
226,November 19 2019 at 12:49AM,esp8266_readings,1,570,18.70,52.00
227,November 19 2019 at 12:50AM,esp8266_readings,1,570,18.70,52.00
228,November 19 2019 at 12:51AM,esp8266_readings,1,570,18.70,52.00
229,November 19 2019 at 12:52AM,esp8266_readings,1,570,18.70,52.00
230,November 19 2019 at 12:53AM,esp8266_readings,1,570,18.70,52.00
231,November 19 2019 at 12:54AM,esp8266_readings,1,572,18.70,52.00
232,November 19 2019 at 12:55AM,esp8266_readings,1,571,18.70,52.00
233,November 19 2019 at 12:56AM,esp8266_readings,1,572,18.70,52.00
234,November 19 2019 at 12:57AM,esp8266_readings,1,570,18.70,52.00
235,November 19 2019 at 12:58AM,esp8266_readings,1,571,18.70,52.00
236,November 19 2019 at 12:59AM,esp8266_readings,1,572,18.70,52.00
237,November 19 2019 at 01:00AM,esp8266_readings,1,570,18.80,52.00
238,November 19 2019 at 01:01AM,esp8266_readings,1,570,18.80,52.00
239,November 19 2019 at 01:02AM,esp8266_readings,1,572,18.80,51.00
240,November 19 2019 at 01:03AM,esp8266_readings,1,571,18.80,51.00
241,November 19 2019 at 01:04AM,esp8266_readings,1,572,18.80,51.00
242,November 19 2019 at 01:05AM,esp8266_readings,1,570,18.80,51.00
